hour,day,month,year,day_of_week,fix_lat,fix_lon,minute,crime_occurrence
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.6770509844432941,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.5652475636821188,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.4534442083158476,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.3416407875546725,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.2298373667934972,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.118034011427133,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-1.0062305906659579,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.8944271699047827,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.7826238145385115,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.6708203937773363,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.5590169730161609,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.4472136176497969,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.3354101968887146,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.22360677612753935,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,-0.11180342076117523,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.11180342076117523,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.2236067761274464,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.3354101968886216,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.4472136176497969,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.5590169730161609,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.6708203937773363,0.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.6770509831248819,0.7826238145385115,0.0,1.0
